"bins","max","mid","min","sst","dem","stage"
1,90,80,70,-1.63389221997532,5209373.12327791,"Ypresian"
2,70,60,50,1.85163128044627,8096729.03515766,"Ypresian"
3,50,40,30,15.0135432903307,14830216.2998934,"Ypresian"
4,30,20,10,27.0172727522217,16770609.5506681,"Ypresian"
5,10,0,-10,31.331397176314,11123667.963636,"Ypresian"
6,-10,-20,-30,25.9779657581184,4481381.46696355,"Ypresian"
7,-30,-40,-50,17.8213642224287,7292761.43113376,"Ypresian"
8,-50,-60,-70,5.5008745473111,6533670.82628639,"Ypresian"
9,-70,-80,-90,0.0436312600551715,2329308.42976517,"Ypresian"
1,90,80,70,-1.58074494465521,3281857.97134133,"Zanclean"
2,70,60,50,0.145178557886443,6120516.54832537,"Zanclean"
3,50,40,30,10.1228561713298,7941040.06784875,"Zanclean"
4,30,20,10,23.994699731063,11003830.590645,"Zanclean"
5,10,0,-10,29.5291768006519,11070331.9654219,"Zanclean"
6,-10,-20,-30,25.9020265315129,7512975.4671508,"Zanclean"
7,-30,-40,-50,16.6110984604314,5039323.84990515,"Zanclean"
8,-50,-60,-70,3.27242861828186,2842626.70581661,"Zanclean"
9,-70,-80,-90,-0.829026200970919,3030204.6201296,"Zanclean"
