"species","x","y"
"reef",39.5,-10.5
"reef",40.5,-10.5
"reef",119.5,-10.5
"reef",120.5,-10.5
"reef",121.5,-10.5
"reef",122.5,-10.5
"reef",123.5,-10.5
"reef",124.5,-10.5
"reef",132.5,-10.5
"reef",133.5,-10.5
"reef",141.5,-10.5
"reef",142.5,-10.5
"reef",143.5,-10.5
"reef",144.5,-10.5
"reef",145.5,-10.5
"reef",147.5,-10.5
"reef",148.5,-10.5
"reef",149.5,-10.5
"reef",150.5,-10.5
"reef",151.5,-10.5
"reef",152.5,-10.5
"reef",161.5,-10.5
"reef",162.5,-10.5
"reef",165.5,-10.5
"reef",166.5,-10.5
"reef",40.5,-11.5
"reef",123.5,-11.5
"reef",130.5,-11.5
"reef",131.5,-11.5
"reef",132.5,-11.5
"reef",133.5,-11.5
"reef",134.5,-11.5
"reef",135.5,-11.5
"reef",136.5,-11.5
"reef",141.5,-11.5
"reef",142.5,-11.5
"reef",143.5,-11.5
"reef",144.5,-11.5
"reef",151.5,-11.5
"reef",152.5,-11.5
"reef",153.5,-11.5
"reef",154.5,-11.5
"reef",160.5,-11.5
"reef",166.5,-11.5
"reef",167.5,-11.5
"reef",-38.5,-12.5
"reef",-37.5,-12.5
"reef",40.5,-12.5
"reef",43.5,-12.5
"reef",44.5,-12.5
"reef",46.5,-12.5
"reef",47.5,-12.5
"reef",48.5,-12.5
"reef",49.5,-12.5
"reef",96.5,-12.5
"reef",123.5,-12.5
"reef",124.5,-12.5
"reef",130.5,-12.5
"reef",131.5,-12.5
"reef",135.5,-12.5
"reef",136.5,-12.5
"reef",141.5,-12.5
"reef",143.5,-12.5
"reef",-38.5,-13.5
"reef",40.5,-13.5
"reef",47.5,-13.5
"reef",48.5,-13.5
"reef",49.5,-13.5
"reef",121.5,-13.5
"reef",122.5,-13.5
"reef",124.5,-13.5
"reef",125.5,-13.5
"reef",126.5,-13.5
"reef",127.5,-13.5
"reef",129.5,-13.5
"reef",130.5,-13.5
"reef",143.5,-13.5
"reef",144.5,-13.5
"reef",-38.5,-14.5
"reef",40.5,-14.5
"reef",47.5,-14.5
"reef",121.5,-14.5
"reef",123.5,-14.5
"reef",124.5,-14.5
"reef",125.5,-14.5
"reef",126.5,-14.5
"reef",127.5,-14.5
"reef",129.5,-14.5
"reef",135.5,-14.5
"reef",136.5,-14.5
"reef",143.5,-14.5
"reef",144.5,-14.5
"reef",145.5,-14.5
"reef",166.5,-14.5
"reef",167.5,-14.5
"reef",168.5,-14.5
"reef",-147.5,-15.5
"reef",-146.5,-15.5
"reef",-145.5,-15.5
"reef",40.5,-15.5
"reef",45.5,-15.5
"reef",46.5,-15.5
"reef",47.5,-15.5
"reef",49.5,-15.5
"reef",50.5,-15.5
"reef",121.5,-15.5
"reef",123.5,-15.5
"reef",124.5,-15.5
"reef",145.5,-15.5
"reef",149.5,-15.5
"reef",166.5,-15.5
"reef",167.5,-15.5
"reef",168.5,-15.5
"reef",-179.5,-16.5
"reef",-145.5,-16.5
"reef",-144.5,-16.5
"reef",-143.5,-16.5
"reef",-39.5,-16.5
"reef",-38.5,-16.5
"reef",39.5,-16.5
"reef",40.5,-16.5
"reef",43.5,-16.5
"reef",44.5,-16.5
"reef",45.5,-16.5
"reef",49.5,-16.5
"reef",50.5,-16.5
"reef",59.5,-16.5
"reef",122.5,-16.5
"reef",123.5,-16.5
"reef",145.5,-16.5
"reef",146.5,-16.5
"reef",147.5,-16.5
"reef",148.5,-16.5
"reef",149.5,-16.5
"reef",150.5,-16.5
"reef",167.5,-16.5
"reef",168.5,-16.5
"reef",177.5,-16.5
"reef",-179.5,-17.5
"reef",-178.5,-17.5
"reef",-145.5,-17.5
"reef",-142.5,-17.5
"reef",-39.5,-17.5
"reef",-38.5,-17.5
"reef",38.5,-17.5
"reef",39.5,-17.5
"reef",43.5,-17.5
"reef",49.5,-17.5
"reef",119.5,-17.5
"reef",145.5,-17.5
"reef",146.5,-17.5
"reef",148.5,-17.5
"reef",149.5,-17.5
"reef",150.5,-17.5
"reef",151.5,-17.5
"reef",152.5,-17.5
"reef",168.5,-17.5
"reef",177.5,-17.5
"reef",-174.5,-18.5
"reef",-173.5,-18.5
"reef",-142.5,-18.5
"reef",-140.5,-18.5
"reef",-39.5,-18.5
"reef",-38.5,-18.5
"reef",43.5,-18.5
"reef",44.5,-18.5
"reef",49.5,-18.5
"reef",146.5,-18.5
